#virProtID	NCBI_ID
502	AFN09943.1
503	AFN09946.1
504	AFN09944.1
505	AFN09945.1
506	AFN09947.1
507	AFN09949.1
508	AFN09948.1
509	AFN09952.1
510	AFN09951.1
511	AFN09950.1
512	AFN09953.1
513	AFN09953.1
514	AFN09954.1
515	AFN09958.1
516	AFN09956.1
517	AFN09957.1
518	AFN09961.1
519	AFN09959.1
520	AFN09960.1
521	AFN09964.1
522	AFN09963.1
523	AFN09962.1
524	AFN09966.1
525	AFN09965.1
526	AFN09967.1
527	AFN09968.1
528	AFN09969.1
529	AFN09970.1
530	AFN09971.1
531	AFN09973.1
532	AFN09972.1
533	AFN09974.2
534	AFN09976.1
535	AFN09975.1
536	AFN09979.1
537	AFN09978.1
538	AFN09977.2
539	AFN09982.1
540	AFN09980.1
541	AFN09981.1
542	AFN09985.1
543	AFN09983.1
544	AFN09984.1
545	AFN09987.1
546	AFN09988.1
547	AFN09986.1
548	AFN09989.1
549	AFN09991.1
550	AFN09990.1
551	AFN09994.1
552	AFN09993.1
553	AFN09992.1
554	AFN09997.1
555	AFN09995.1
556	AFN09996.1
557	AFN10000.1
558	AFN09999.1
559	AFN09998.1
560	ACL36376.1
561	ACL36375.1
562	ACL36374.1
563	AGN11431.1
564	AGN11430.1
565	AGN11429.1
566	AFJ21375.1
567	AFJ21376.1
568	AFJ21377.1
569	ADF47132.1
570	ADF47131.1
571	ADF47130.1
572	ADF47129.1
573	ADF47127.1
574	ADF47128.1
575	BAF38399.1
576	BAF38401.1
577	BAF38400.1
578	YP_008431133.1
579	YP_008431132.1
580	YP_008431134.1
581	YP_239360.1
582	YP_239361.1
583	YP_239359.1
584	YP_009181996.1
585	YP_009181997.1
586	YP_009181995.1
587	NP_941983.1
588	YP_004928150.1
589	NP_941984.1
590	BAA92846.1
591	BAA92845.1
592	BAA92847.1
593	YP_164336.1
594	YP_164336.1
595	YP_164338.1
596	YP_077279.1
597	YP_077280.1
598	YP_077278.1
599	BAK61506.1
600	BAK61505.1
601	BAK61504.1
602	ADG03648.1
603	ADG03647.1
604	ADG03646.1
605	YP_022762.1
606	YP_022763.1
607	YP_022762.1
608	NP_942558.1
609	NP_942557.1
610	NP_942556.1
611	AAN08113.1
612	AAN08111.1
613	AAN08112.1
614	YP_003587915.1
615	YP_003587917.1
616	YP_003587916.1
617	YP_009256215.1
618	YP_009256214.1
619	YP_009256216.1
620	YP_003587884.1
621	YP_003587883.1
622	YP_003587885.1
623	YP_003587889.1
624	YP_003587890.1
625	YP_003587891.1
626	YP_003587892.1
627	YP_003587894.1
628	YP_003587893.1
629	YP_003587911.1
630	YP_003587910.1
631	YP_003587912.1
632	NP_054655.1
633	NP_054657.1
634	NP_054656.1
635	YP_009109711.1
636	YP_009109710.1
637	YP_009109709.1
638	NP_817120.1
639	NP_817121.1
640	NP_817122.1
641	YP_003587874.1
642	YP_003587872.1
643	YP_003587873.1
644	YP_003587863.1
645	YP_003587862.1
646	YP_003587861.1
647	YP_007518450.1
648	YP_007518451.1
649	YP_007518449.1
650	YP_338086.1
