#virusTaxid	nucleic1	nucleic2	order	family	subfamily	genus	specie	name
378830	RNA	(-)ssRNA	Mononegavirales	Filoviridae	nan	Marburgvirus	Marburg marburgvirus	Lake Victoria marburgvirus - Angola2005
378831	RNA	(-)ssRNA	Mononegavirales	Filoviridae	nan	Marburgvirus	Marburg marburgvirus	Lake Victoria marburgvirus - DRC1999
1126254	RNA	(-)ssRNA	Mononegavirales	Filoviridae	nan	Marburgvirus	Marburg marburgvirus	Lake Victoria marburgvirus - Leiden
11085	RNA	(+)ssRNA	nan	Flaviviridae	nan	Flavivirus	tick-borne encephalitis virus group	Langat virus
11620	RNA	(-)ssRNA	nan	Arenaviridae	nan	Mammarenavirus	nan	Lassa mammarenavirus
82658	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII	Lordsdale virus
11086	RNA	(+)ssRNA	nan	Flaviviridae	nan	Flavivirus	tick-borne encephalitis virus group	Louping ill virus
649188	RNA	(-)ssRNA	nan	Arenaviridae	nan	Mammarenavirus	nan	Lujo mammarenavirus
11623	RNA	(-)ssRNA	nan	Arenaviridae	nan	Mammarenavirus	nan	Lymphocytic choriomeningitis mammarenavirus
642022	RNA	(-)ssRNA	Mononegavirales	Rhabdoviridae	nan	Lyssavirus	unclassified Lyssavirus	Lyssavirus Ozernoe
10325	DNA	dsDNA	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Simplexvirus	nan	Macacine herpesvirus 1
338478	RETRO	retro-RNA	nan	Retroviridae	Spumaretrovirinae	Spumavirus	nan	Macaque simian foamy virus
11628	RNA	(-)ssRNA	nan	Arenaviridae	nan	Mammarenavirus	nan	Machupo mammarenavirus
1239565	RNA	(+)ssRNA	nan	Astroviridae	nan	Mamastrovirus	nan	Mamastrovirus 1
1046251	RNA	(-)ssRNA	Mononegavirales	Rhabdoviridae	nan	Vesiculovirus	nan	Maraba virus
11269	RNA	(-)ssRNA	Mononegavirales	Filoviridae	nan	Marburgvirus	nan	Marburg marburgvirus
33727	RNA	(-)ssRNA	Mononegavirales	Filoviridae	nan	Marburgvirus	Marburg marburgvirus	Marburg virus - Musoke, Kenya, 1980
59301	RNA	(+)ssRNA	nan	Togaviridae	nan	Alphavirus	nan	Mayaro virus
11234	RNA	(-)ssRNA	Mononegavirales	Paramyxoviridae	Paramyxovirinae	Morbillivirus	nan	Measles virus
170525	RNA	(-)ssRNA	Mononegavirales	Paramyxoviridae	Paramyxovirinae	Morbillivirus	Measles virus genotypes and isolates	Measles virus genotype D4
170528	RNA	(-)ssRNA	Mononegavirales	Paramyxoviridae	Paramyxovirinae	Morbillivirus	Measles virus genotypes and isolates	Measles virus genotype D8
1056492	RNA	(-)ssRNA	Mononegavirales	Paramyxoviridae	Paramyxovirinae	Morbillivirus	Measles virus genotypes and isolates	Measles virus genotype G3
70149	RNA	(-)ssRNA	Mononegavirales	Paramyxoviridae	Paramyxovirinae	Morbillivirus	Measles virus strain Edmonston	Measles virus strain Edmonston-Zagreb
884096	RNA	(-)ssRNA	Mononegavirales	Paramyxoviridae	Paramyxovirinae	Morbillivirus	Measles virus genotypes and isolates	Measles virus strain MVi/Arizona.USA/11.08/2
884100	RNA	(-)ssRNA	Mononegavirales	Paramyxoviridae	Paramyxovirinae	Morbillivirus	Measles virus genotypes and isolates	Measles virus strain MVi/California.USA/16.03
884099	RNA	(-)ssRNA	Mononegavirales	Paramyxoviridae	Paramyxovirinae	Morbillivirus	Measles virus genotypes and isolates	Measles virus strain MVi/California.USA/8.04
884094	RNA	(-)ssRNA	Mononegavirales	Paramyxoviridae	Paramyxovirinae	Morbillivirus	Measles virus genotypes and isolates	Measles virus strain MVi/Florida.USA/19.09
884098	RNA	(-)ssRNA	Mononegavirales	Paramyxoviridae	Paramyxovirinae	Morbillivirus	Measles virus genotypes and isolates	Measles virus strain MVi/New Jersey.USA/45.05
884093	RNA	(-)ssRNA	Mononegavirales	Paramyxoviridae	Paramyxovirinae	Morbillivirus	Measles virus genotypes and isolates	Measles virus strain MVi/New York.USA/26.09/3
884101	RNA	(-)ssRNA	Mononegavirales	Paramyxoviridae	Paramyxovirinae	Morbillivirus	Measles virus genotypes and isolates	Measles virus strain MVi/Pennsylvania.USA/20.09
884097	RNA	(-)ssRNA	Mononegavirales	Paramyxoviridae	Paramyxovirinae	Morbillivirus	Measles virus genotypes and isolates	Measles virus strain MVi/Texas.USA/4.07
884095	RNA	(-)ssRNA	Mononegavirales	Paramyxoviridae	Paramyxovirinae	Morbillivirus	Measles virus genotypes and isolates	Measles virus strain MVi/Virginia.USA/15.09
1089795	RNA	(-)ssRNA	Mononegavirales	Paramyxoviridae	Paramyxovirinae	Morbillivirus	Measles virus genotypes and isolates	Measles virus strain MVi/Washington.USA/18.08/1
419697	RNA	dsRNA	nan	Reoviridae	Spinareovirinae	Orthoreovirus	Pteropine orthoreovirus	Melaka orthoreovirus
152219	RNA	(-)ssRNA	Mononegavirales	Paramyxoviridae	Paramyxovirinae	Rubulavirus	unclassified Rubulavirus	Menangle virus
12107	RNA	(+)ssRNA	Picornavirales	Picornaviridae	nan	Cardiovirus	Encephalomyocarditis virus	Mengo virus
493803	DNA	dsDNA	nan	Polyomaviridae	nan	Polyomavirus	unclassified Polyomavirus	Merkel cell polyomavirus
1335626	RNA	(+)ssRNA	Nidovirales	Coronaviridae	Coronavirinae	Betacoronavirus	unclassified Betacoronavirus	Middle East respiratory syndrome coronavirus
64300	RNA	(+)ssRNA	nan	Flaviviridae	nan	Flavivirus	Modoc virus group	Modoc virus
12538	RNA	(-)ssRNA	Mononegavirales	Rhabdoviridae	nan	Lyssavirus	nan	Mokola virus
10280	DNA	dsDNA	nan	Poxviridae	Chordopoxvirinae	Molluscipoxvirus	Molluscum contagiosum virus	Molluscum contagiosum virus subtype 1
10244	DNA	dsDNA	nan	Poxviridae	Chordopoxvirinae	Orthopoxvirus	nan	Monkeypox virus
619591	DNA	dsDNA	nan	Poxviridae	Chordopoxvirinae	Orthopoxvirus	Monkeypox virus	Monkeypox virus Zaire-96-I-16
1516081	DNA	ssDNA	nan	Genomoviridae	nan	Gemykibivirus	nan	MSSI2.225 virus
11161	RNA	(-)ssRNA	Mononegavirales	Paramyxoviridae	Paramyxovirinae	Rubulavirus	nan	Mumps virus
1384672	RNA	(-)ssRNA	Mononegavirales	Paramyxoviridae	Paramyxovirinae	Rubulavirus	Mumps virus	Mumps virus genotype G
11168	RNA	(-)ssRNA	Mononegavirales	Paramyxoviridae	Paramyxovirinae	Rubulavirus	Mumps virus genotype A	Mumps virus strain Jeryl Lynn
334203	DNA	dsDNA	nan	Papillomaviridae	nan	Mupapillomavirus	nan	Mupapillomavirus 1
11079	RNA	(+)ssRNA	nan	Flaviviridae	nan	Flavivirus	Japanese encephalitis virus group	Murray Valley encephalitis virus
1203539	DNA	dsDNA	nan	Polyomaviridae	nan	Polyomavirus	unclassified Polyomavirus	MW polyomavirus
1231709	DNA	dsDNA	nan	Polyomaviridae	nan	Polyomavirus	unclassified Polyomavirus	MX polyomavirus
1497391	DNA	dsDNA	nan	Polyomaviridae	nan	Polyomavirus	unclassified Polyomavirus	New Jersey polyomavirus-2013
121791	RNA	(-)ssRNA	Mononegavirales	Paramyxoviridae	Paramyxovirinae	Henipavirus	nan	Nipah virus
122928	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norwalk virus	Norovirus GI
1529909	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus genogroup 1 isolates	Norovirus GI/Hu/JP/2007/GI.P3_GI.3/Shimizu/KK2866
1529910	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus genogroup 1 isolates	Norovirus GI/Hu/JP/2007/GI.P8_GI.8/Nagoya/KY531
552592	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII	Norovirus GII.17
1514999	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus GII/Hu/HKG/2013/GII.4/CUHK-NS-141
1529911	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/JP/2000/GII.P12_GII.12/Saitama/KU16
1529912	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/JP/2001/GII.P12_GII.12/Saitama/T15
1529913	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/JP/2001/GII.P12_GII.12/Saitama/T18
1529914	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/JP/2001/GII.P22_GII.5/Saitama/T49
1529915	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/JP/2002/GII.P12_GII.13/Saitama/T80
1529916	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/JP/2002/GII.P16_GII.17/Saitama/T87
1529917	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/JP/2002/GII.P5_GII.5/Saitama/T52
1529918	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/JP/2007/GII.P15_GII.15/Sapporo/HK299
1529919	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/JP/2007/GII.P21_GII.21/Kawasaki/YO284
1529920	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/JP/2007/GII.P7_GII.14/Fukuoka/KK282
1529921	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/JP/2007/GII.P7_GII.14/Sendai/YG99
1529922	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/JP/2010/GII.P4_GII.4/Shimada/ASC96
1529923	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/JP/2010/GII.P7_GII.7/Musashimurayama/TAKAsanKimchi
1529924	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/JP/2011/GII/Yuzawa/Gira2HS
1529925	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/JP/2012/GII.Pe_GII.4_Sydney2012/Fukuyama/1
1529926	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/JP/2012/GII.Pe_GII.4_Sydney2012/Fukuyama/2
1529927	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/JP/2012/GII.Pe_GII.4_Sydney2012/Fukuyama/3
1529928	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/JP/2012/GII.Pe_GII.4_Sydney2012/Fukuyama/5
1529929	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/TW/2012/GII.Pe_GII.4_Sydney2012/Taipei/105
1529930	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/TW/2012/GII.Pe_GII.4_Sydney2012/Taipei/106
1529931	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/TW/2012/GII.Pe_GII.4_Sydney2012/Taipei/108
1529932	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus GII/Hu/TW/2012/GII.Pe_GII.4_Sydney2012/Taipei/109
262897	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norwalk virus	Norovirus GIV
1383577	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GI.1	Norovirus Hu/GI.1/8CKIIIc/1974/USA
1184498	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GI.1	Norovirus Hu/GI.1/8FIIa/1968/USA
1383578	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GI.1	Norovirus Hu/GI.1/8K/1979/USA
1383579	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GI.1	Norovirus Hu/GI.1/8MC/1978/USA
1383580	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GI.1	Norovirus Hu/GI.1/8McIII/1973/USA
1383581	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GI.1	Norovirus Hu/GI.1/8MoIIIL/1972/USA
1383582	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GI.1	Norovirus Hu/GI.1/8UIIIf/1973/USA
1383583	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GI.1	Norovirus Hu/GI.1/8W/1968/USA
1406147	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GI.2	Norovirus Hu/GI.2/Jingzhou/2013401/CHN
658397	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GI.2	Norovirus Hu/GI.2/Leuven/2003/BEL
1173217	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GI.6	Norovirus Hu/GI.6/Kingston/ACT160D/2010/AU
1175308	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus genogroup 1 isolates	Norovirus Hu/GI/10360/2010/VNM
1184496	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CBNU2/2007/KR
1195613	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH01/2006/TW
1195614	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH02/2006/TW
1195615	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH03/2006/TW
1195616	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH04/2006/TW
1195617	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH05/2006/TW
1195618	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH06/2006/TW
1195619	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH07/2006/TW
1195620	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH08/2006/TW
1195621	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH09/2006/TW
1195622	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH10/2006/TW
1195623	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH11/2006/TW
1195624	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH12/2007/TW
1195625	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH13/2007/TW
1195626	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH14/2007/TW
1195627	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH15/2007/TW
1195628	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH16/2007/TW
1195629	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH17/2007/TW
1195630	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH18/2008/TW
1195631	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH19/2009/TW
1195632	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH20/2009/TW
1195633	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH21/2010/TW
1195634	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH22/2010/TW
1195635	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH23/2010/TW
1195636	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH24/2010/TW
1195637	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH25/2010/TW
1195638	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH26/2010/TW
1195639	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH27/2010/TW
1195640	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CGMH28/2010/TW
587432	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII-4/CUK-3/2008/KR
1380573	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.12	Norovirus Hu/GII.12/CGMH38/2010/TW
1380574	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.12	Norovirus Hu/GII.12/CGMH39/2010/TW
1380575	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.12	Norovirus Hu/GII.12/CGMH40/2010/TW
1380576	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.12	Norovirus Hu/GII.12/CGMH41/2010/TW
1380577	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.12	Norovirus Hu/GII.12/CGMH42/2010/TW
1046049	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.12	Norovirus Hu/GII.12/HS206/2010/USA
934293	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.12	Norovirus Hu/GII.12/HS210/2010/USA
748172	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.14	Norovirus Hu/GII.14/8610/Saga/2008/JPN
