#virusTaxid	nucleic1	nucleic2	order	family	subfamily	genus	specie	name
1566828	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/gg-12-08-04/2012/KR
1379486	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/Guangzhou/GZ2010-L88/CHN/2011
1379487	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/Guangzhou/GZ2010-L91/CHN/2011
1282423	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/GZ2010-L26/Guangzhou/CHN/2010
1282425	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/GZ2010-L87/Guangzhou/CHN/2011
1262401	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/Hong Kong/CUHK3630/2012/CHN
1337425	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/Hong Kong/CUHK6080/2012/CHN
1268361	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/HS191/2004/USA
1458702	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/HS288/2012/USA
1458703	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/HS292/2012/USA
1458704	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/HS66/2001/USA
1241969	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/Jannali/NSW774M/2011/AU
880562	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/JB-15/KOR/2008
1432852	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/Jiangsu1/2011/CHN
1432853	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/Jiangsu2/2012/CHN
1406149	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/Jingzhou/2013403/CHN
392172	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/MD-2004/2004/US
1241970	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/Miranda/NSW850K/2011/AU
1133122	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/New Orleans/2010/USA
1383602	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/NIHIC1.13/2012/USA
1406809	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/NIHIC1.16/2012/USA
1406799	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/NIHIC11.3/2013/USA
1383591	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/NIHIC13/2011/USA
1383599	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/NIHIC17.1/2012/USA
1383601	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/NIHIC17.5/2012/USA
1406805	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/NIHIC17.6/2012/USA
1406801	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/NIHIC17.8/2013/USA
1406802	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/NIHIC17.9/2013/USA
1383590	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/NIHIC18.1/2012/USA
1406797	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/NIHIC2.2/2010/USA
1406798	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/NIHIC2.3/2010/USA
1383596	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/NIHIC27.1/2012/USA
1406800	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/NIHIC27.2/2012/USA
1383609	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/NIHIC28.4/2012/USA
1383606	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/NIHIC28.5/2012/USA
1406796	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/NIHIC35/2013/USA
1316726	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/Ohio/684/USA
1221622	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/Ohio/7G/2012/USA
1221623	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/Ohio/7I/2012/USA
1241971	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/Randwick/NSW882J/2011/AU
1241972	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/Randwick/NSW938K/2011/AU
1183312	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/Rockdale/NSW006D/2009/AU
1312076	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/Seoul/1071/2010/KOR
1498296	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/SGU-110421/KOR/2011
1241973	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/Sydney/NSW0514/2012/AU
1241974	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/Woonona/NSW3309/2012/AU
1260944	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.9	Norovirus Hu/GII.6/CHDC4073/1984/USA
1282430	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.6	Norovirus Hu/GII.6/GZ2010-L96/Guangzhou/CHN/2011
1458705	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.6	Norovirus Hu/GII.6/HS245/2010/USA
1183319	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII.g-GII.12/Gunnedah/NSW895P/2010/AU
1183320	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII.g-GII.12/Wahroonga/NSW004P/2009/AU
1175309	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII/10002/2009/VNM
1175310	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII/10003/2009/VNM
1175311	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII/10012/2009/VNM
1175312	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII/10037/2009/VNM
1291872	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII/20469/2010/VNM
1291873	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII/20477/2010/VNM
1486684	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII/BG1C0004/2010/BGD
1486685	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII/BG1C0066/2011/BGD
1486687	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII/BG1C0204/2011/BGD
1486689	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII/BG1C0241-33/2011/BGD
1486691	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII/BG1C0270/2011/BGD
1486692	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII/BG1C0282/2011/BGD
1486694	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII/BG1C0317/2011/BGD
1486697	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII/BG1C0405/2012/BGD
1336082	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII/Seoul1055/KOR/2010
1336084	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII/Seoul1072/KOR/2010
1336095	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII/Seoul1282/KOR/2010
1336100	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII/Seoul1367/KOR/2010
1336131	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII/Seoul1488/KOR/2011
756495	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII isolates	Norovirus Hu/GII/Shanghai/SH2/2008/CHN
1338688	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GIV.1	Norovirus Hu/GIV.1/CCDC GR1113-59/CHN/2011
1183318	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GIV.1	Norovirus Hu/GIV.1/LakeMacquarie/NSW268O/2010/AU
1261195	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10034/2009/VNM
1261196	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10051/2009/VNM
1261197	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10054/2009/VNM
1261198	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10062/2009/VNM
1261199	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10074/2009/VNM
1261200	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10075/2009/VNM
1261201	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10078/2009/VNM
1261202	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10079/2009/VNM
1261203	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10110/2009/VNM
1261204	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10114/2009/VNM
1261205	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10116/2009/VNM
1261206	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10129/2009/VNM
1261207	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10136/2009/VNM
1261208	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10137/2009/VNM
1261209	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10145/2009/VNM
1261210	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10148/2009/VNM
1261211	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10158/2009/VNM
1261212	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10160/2009/VNM
1261213	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10162/2009/VNM
1261214	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10163/2009/VNM
1261215	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10169/2009/VNM
1261216	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10173/2009/VNM
1261217	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10176/2009/VNM
1261218	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10177/2009/VNM
1261219	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10179/2009/VNM
1261220	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10182/2009/VNM
1261221	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10183/2009/VNM
1261222	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10194/2009/VNM
1261223	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10199/2009/VNM
1261224	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10203/2009/VNM
1261225	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10204/2009/VNM
1261226	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10222/2009/VNM
1261227	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10223/2009/VNM
1261228	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10235/2009/VNM
1261229	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10236/2009/VNM
1261230	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10238/2009/VNM
1261231	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10247/2009/VNM
1261232	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10255/2009/VNM
1261233	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10285/2010/VNM
1261234	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10296/2010/VNM
1261235	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10313/2010/VNM
1261236	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10325/2010/VNM
1261237	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10328/2010/VNM
1261238	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10368/2010/VNM
1261239	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10378/2010/VNM
1261240	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/10386/2010/VNM
1261241	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20008/2009/VNM
1261242	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20010/2009/VNM
1261243	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20014/2009/VNM
1261244	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20016/2009/VNM
1261245	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20019/2009/VNM
1261246	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20033/2009/VNM
1261247	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20035/2009/VNM
1261248	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20044/2009/VNM
1261249	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20047/2009/VNM
1261250	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20066/2009/VNM
1261251	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20067/2009/VNM
1261252	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20069/2009/VNM
1261253	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20092/2009/VNM
1261254	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20093/2009/VNM
1261255	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20094/2009/VNM
1261256	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20118/2009/VNM
1261257	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20122/2009/VNM
1261258	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20123/2009/VNM
1261259	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20128/2009/VNM
1261260	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20135/2009/VNM
1261261	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20139/2009/VNM
1261262	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20140/2009/VNM
1261263	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Norwalk/20142/2009/VNM
756497	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Shanghai/SH312/2009/CHN
756496	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus isolates	Norovirus Hu/Shanghai/SH5/2009/CHN
95340	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norwalk virus	Norwalk-like virus
64292	RNA	(+)ssRNA	nan	Flaviviridae	nan	Flavivirus	Ntaya virus group	Ntaya virus
11027	RNA	(+)ssRNA	nan	Togaviridae	nan	Alphavirus	nan	O'nyong-nyong virus
12542	RNA	(+)ssRNA	nan	Flaviviridae	nan	Flavivirus	tick-borne encephalitis virus group	Omsk hemorrhagic fever virus
10258	DNA	dsDNA	nan	Poxviridae	Chordopoxvirinae	Parapoxvirus	nan	Orf virus
118655	RNA	(-)ssRNA	nan	Bunyaviridae	nan	Orthobunyavirus	nan	Oropouche virus
340907	DNA	dsDNA	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Simplexvirus	nan	Papiine herpesvirus 2
11207	RNA	(-)ssRNA	Mononegavirales	Paramyxoviridae	Paramyxovirinae	Rubulavirus	nan	Parainfluenza virus 5
1341019	DNA	ssDNA	nan	Parvoviridae	Parvovirinae	nan	nan	Parvovirus NIH-CQV
11630	RNA	(-)ssRNA	nan	Arenaviridae	nan	Mammarenavirus	nan	Pichinde mammarenavirus
11083	RNA	(+)ssRNA	nan	Flaviviridae	nan	Flavivirus	tick-borne encephalitis virus group	Powassan virus
11587	RNA	(-)ssRNA	nan	Bunyaviridae	nan	Phlebovirus	nan	Punta Toro virus
11604	RNA	(-)ssRNA	nan	Bunyaviridae	nan	Hantavirus	nan	Puumala virus
11292	RNA	(-)ssRNA	Mononegavirales	Rhabdoviridae	nan	Lyssavirus	nan	Rabies virus
378809	RNA	(-)ssRNA	Mononegavirales	Filoviridae	nan	Marburgvirus	Marburg marburgvirus	Ravn virus - Ravn, Kenya, 1987
12814	RNA	(-)ssRNA	Mononegavirales	Pneumoviridae	nan	Pneumovirus	unclassified Pneumovirus	Respiratory syncytial virus
1439707	RNA	(-)ssRNA	Mononegavirales	Pneumoviridae	nan	Pneumovirus	Respiratory syncytial virus	Respiratory syncytial virus type A
186539	RNA	(-)ssRNA	Mononegavirales	Filoviridae	nan	Ebolavirus	nan	Reston ebolavirus
129003	RNA	(-)ssRNA	Mononegavirales	Filoviridae	nan	Ebolavirus	Reston ebolavirus	Reston ebolavirus - Reston
147711	RNA	(+)ssRNA	Picornavirales	Picornaviridae	nan	Enterovirus	nan	Rhinovirus A
147712	RNA	(+)ssRNA	Picornavirales	Picornaviridae	nan	Enterovirus	nan	Rhinovirus B
463676	RNA	(+)ssRNA	Picornavirales	Picornaviridae	nan	Enterovirus	nan	Rhinovirus C
11588	RNA	(-)ssRNA	nan	Bunyaviridae	nan	Phlebovirus	nan	Rift Valley fever virus
64285	RNA	(+)ssRNA	nan	Flaviviridae	nan	Flavivirus	Rio Bravo virus group	Rio Bravo virus
1511807	RNA	(+)ssRNA	Picornavirales	Picornaviridae	nan	Rosavirus	Rosavirus A	Rosavirus A2
11029	RNA	(+)ssRNA	nan	Togaviridae	nan	Alphavirus	nan	Ross River virus
28875	RNA	dsRNA	nan	Reoviridae	Sedoreovirinae	Rotavirus	nan	Rotavirus A
36427	RNA	dsRNA	nan	Reoviridae	Sedoreovirinae	Rotavirus	nan	Rotavirus C
11041	RNA	(+)ssRNA	nan	Togaviridae	nan	Rubivirus	nan	Rubella virus
45709	RNA	(-)ssRNA	nan	Arenaviridae	nan	Mammarenavirus	nan	Sabia mammarenavirus
434309	RNA	(+)ssRNA	Picornavirales	Picornaviridae	nan	Cardiovirus	Theilovirus	Saffold virus
59303	RNA	(+)ssRNA	nan	Togaviridae	nan	Alphavirus	Getah virus	Sagiyama virus
1330524	RNA	(+)ssRNA	Picornavirales	Picornaviridae	nan	Salivirus	nan	Salivirus A
1547495	RNA	(+)ssRNA	Picornavirales	Picornaviridae	nan	Salivirus	unclassified Salivirus	Salivirus FHB
651733	RNA	(+)ssRNA	Picornavirales	Picornaviridae	nan	Salivirus	Salivirus A	Salivirus NG-J1
206160	RNA	(-)ssRNA	nan	Bunyaviridae	nan	Phlebovirus	nan	Sandfly fever Naples virus
688699	RNA	(-)ssRNA	nan	Bunyaviridae	nan	Phlebovirus	Sandfly fever Sicilian virus	Sandfly fever Turkey virus
290314	RNA	(+)ssRNA	nan	Caliciviridae	nan	Sapovirus	Sapovirus GII	Sapovirus C12
291175	RNA	(+)ssRNA	nan	Caliciviridae	nan	Sapovirus	Sapovirus isolates	Sapovirus Hu/Dresden/pJG-Sap01/DE
1346530	RNA	(+)ssRNA	nan	Caliciviridae	nan	Sapovirus	Sapovirus GI	Sapovirus Hu/G1/BE-HPI01/DE/2012
985691	RNA	(+)ssRNA	nan	Caliciviridae	nan	Sapovirus	Sapovirus GI.2	Sapovirus Hu/GI.2/BR-DF01/BRA/2009
758863	RNA	(+)ssRNA	nan	Caliciviridae	nan	Sapovirus	Sapovirus GI	Sapovirus Hu/GI/Sapporo/MT-2010/1982
1280920	RNA	(+)ssRNA	nan	Caliciviridae	nan	Sapovirus	Sapovirus isolates	Sapovirus Hu/Nagoya/NGY-1/2012/JPN
234601	RNA	(+)ssRNA	nan	Caliciviridae	nan	Sapovirus	Sapovirus GII	Sapovirus Mc10
227859	RNA	(+)ssRNA	Nidovirales	Coronaviridae	Coronavirinae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	SARS coronavirus
627442	RNA	(+)ssRNA	Nidovirales	Coronaviridae	Coronavirinae	Betacoronavirus	SARS coronavirus	SARS coronavirus P2
227984	RNA	(+)ssRNA	Nidovirales	Coronaviridae	Coronavirinae	Betacoronavirus	SARS coronavirus	SARS coronavirus Tor2
11033	RNA	(+)ssRNA	nan	Togaviridae	nan	Alphavirus	nan	Semliki Forest virus
11608	RNA	(-)ssRNA	nan	Bunyaviridae	nan	Hantavirus	nan	Seoul virus
12557	RNA	(-)ssRNA	nan	Bunyaviridae	nan	Hantavirus	Seoul virus	Seoul virus 80-39
992212	RNA	(-)ssRNA	nan	Bunyaviridae	nan	Phlebovirus	Severe fever with thrombocytopenia syndrome virus	SFTS virus HB29
11642	RETRO	retro-RNA	nan	Retroviridae	Spumaretrovirinae	Spumavirus	nan	Simian foamy virus
37705	RNA	(-)ssRNA	nan	Bunyaviridae	nan	Hantavirus	nan	Sin Nombre virus
11034	RNA	(+)ssRNA	nan	Togaviridae	nan	Alphavirus	nan	Sindbis virus
289366	DNA	ssDNA	nan	Anelloviridae	nan	nan	Small anellovirus	Small anellovirus 1
289367	DNA	ssDNA	nan	Anelloviridae	nan	nan	Small anellovirus	Small anellovirus 2
52276	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII	Snow Mountain virus
