2016-11-17 13:02:11 - __main__ - INFO: Processing UniProt entry 145: Q9UH17
2016-11-17 13:02:12 - __main__ - INFO: Processing UniProt entry 146: Q8IUX4
2016-11-17 13:02:13 - __main__ - INFO: Processing UniProt entry 147: Q9HC16
2016-11-17 13:02:20 - __main__ - INFO: Processing UniProt entry 148: Q99758
2016-11-17 13:02:20 - __main__ - INFO: Processing UniProt entry 149: P78363
2016-11-17 13:02:27 - __main__ - INFO: Processing UniProt entry 150: Q4W5N1
2016-11-17 13:02:33 - __main__ - INFO: Processing UniProt entry 151: Q86UQ4
2016-11-17 13:02:39 - __main__ - INFO: Processing UniProt entry 152: Q9Y235
2016-11-17 13:02:40 - __main__ - INFO: Processing UniProt entry 153: Q8TB40
2016-11-17 13:02:40 - __main__ - INFO: Processing UniProt entry 154: Q8WTS1
2016-11-17 13:02:41 - __main__ - INFO: Processing UniProt entry 155: Q9P2A4
2016-11-17 13:02:42 - __main__ - INFO: Processing UniProt entry 156: O14639
2016-11-17 13:02:48 - __main__ - INFO: Processing UniProt entry 157: O00763
2016-11-17 13:02:54 - __main__ - INFO: Processing UniProt entry 158: Q15057
2016-11-17 13:02:56 - __main__ - INFO: Processing UniProt entry 159: Q96AP0
2016-11-17 13:02:57 - __main__ - INFO: Processing UniProt entry 160: P32297
2016-11-17 13:03:02 - __main__ - INFO: Processing UniProt entry 161: P36544
2016-11-17 13:03:09 - __main__ - INFO: Processing UniProt entry 162: P02708
2016-11-17 13:03:10 - __main__ - INFO: Processing UniProt entry 163: P17787
2016-11-17 13:03:10 - __main__ - INFO: Processing UniProt entry 164: Q9UKV3
2016-11-17 13:03:12 - __main__ - INFO: Processing UniProt entry 165: O00590
2016-11-17 13:03:13 - __main__ - INFO: Processing UniProt entry 166: P11229
2016-11-17 13:03:19 - __main__ - INFO: Processing UniProt entry 167: P08173
2016-11-17 13:03:25 - __main__ - INFO: Processing UniProt entry 168: P21399
2016-11-17 13:03:31 - __main__ - INFO: Processing UniProt entry 169: Q99798
2016-11-17 13:03:37 - __main__ - INFO: Processing UniProt entry 170: Q3I5F7
2016-11-17 13:03:37 - __main__ - INFO: Processing UniProt entry 171: O15254
